id|sub_cat_id|company_name_cn
004-014-285|004-014|美麗華廣場
004-014-286|004-014|新世紀廣場
004-014-287|004-014|奧海城
004-014-288|004-014|太古廣場
004-014-289|004-014|山頂廣場
004-014-290|004-014|新港中心
004-014-291|004-014|赤柱廣場
004-014-292|004-014|時代廣場
004-014-293|004-014|T.O.P This is Our Place
004-014-294|004-014|The ONE
004-014-295|004-014|The Pulse, Repulse Bay
004-014-296|004-014|新太陽廣場
004-014-297|004-014|屯門市廣場
004-014-298|004-014|尖沙咀中心 帝國中心
004-014-299|004-014|皇室堡
004-014-300|004-014|世貿中心
004-014-301|004-014|淘大商場
004-014-302|004-014|apm
004-014-303|004-014|泓景滙商場
004-014-304|004-014|壹號名薈
004-014-305|004-014|愉景新城
004-014-306|004-014|K Plus
004-014-307|004-014|荃灣千色匯
004-014-308|004-014|元朗千色匯
004-014-309|004-014|康怡廣場
004-014-310|004-014|青衣城
004-014-311|004-014|新都城中心
004-014-312|004-014|新都會廣場
004-014-313|004-014|新都廣場
004-014-314|004-014|新港城中心
004-014-315|004-014|Nan Fung Place
004-014-316|004-014|新城市廣場
004-014-317|004-014|如心廣場
004-014-318|004-014|海之戀商場
004-014-319|004-014|荷里活廣場
004-014-320|004-014|PopCorn
004-014-321|004-014|沙田中心 沙田廣場
004-014-322|004-014|利奧坊
004-014-323|004-014|大埔超級城
004-014-324|004-014|德福廣場
004-014-325|004-014|海逸坊
004-014-326|004-014|宇晴滙
004-014-327|004-014|屯門時代廣場
004-014-328|004-014|荃灣廣場
004-014-329|004-014|新達廣場
004-014-330|004-014|V city
004-014-331|004-014|V Walk
004-014-332|004-014|港景匯商場
004-014-333|004-014|黃埔天地
004-014-334|004-014|形點
004-014-335|004-014|元朗廣場
004-015-336|004-015|長江實業集團有限公司
004-015-337|004-015|華人置業集團
004-015-338|004-015|華懋集團
004-015-339|004-015|英皇集團
004-015-340|004-015|鷹君集團
004-015-341|004-015|恒隆地產
004-015-342|004-015|恒基兆業地產有限公司
004-015-343|004-015|置地集團
004-015-344|004-015|希慎集團
004-015-345|004-015|嘉里建設
004-015-346|004-015|九龍建業
004-015-347|004-015|麗新集團
004-015-348|004-015|羅氏集團
004-015-349|004-015|領展
004-015-350|004-015|美麗華集團
004-015-351|004-015|地鐵
004-015-352|004-015|南豐集團
004-015-353|004-015|新世界發展
004-015-354|004-015|信和集團
004-015-355|004-015|新鴻基地產
004-015-356|004-015|太古地產
004-015-357|004-015|九龍倉置業
004-016-358|004-016|3hreeSixty
